X,Y,Z,formation
1111441.885,1252088.135,1560.316,K1ls_mm
1111575.565,1251658.449,1562.9353,K1ls_mm
1111626.067,1251496.123,1567.772,K1ls_mm

1111643.891,1251438.832,1558.2353,K1ls_mm
1111706.275,1251238.312,1566.149,K1ls_mm
1111750.835,1251095.084,1580.3103,K1ls_mm
1111789.453,1250970.952,1587.0152,K1ls_mm
1111845.896,1250789.529,1600.3624,K1ls_mm
1111902.339,1250608.107,1624.1276,K1ls_mm
1111970.664,1250388.49,1629.1517,K1ls_mm

1111988.488,1250331.198,1632.5716,K1ls_mm
1112080.578,1250035.193,1646.7394,K1ls_mm
1112160.786,1249777.381,1642.2266,K1ls_mm
1112217.229,1249595.959,1659.7946,K1ls_mm
1112327.144,1249242.661,1658.6941,K1ls_mm
1112350.909,1249166.273,1658.1274,K1ls_mm

1112365.762,1249118.53,1635.4935,K1ls_mm
1112428.146,1248918.01,1634.5613,K1ls_mm
1112469.736,1248784.33,1636.8918,K1ls_mm
1112502.413,1248679.296,1632.6969,K1ls_mm

1112526.178,1248602.907,1629.8578,K1ls_mm
1112594.504,1248383.29,1630.9628,K1ls_mm
1112748.978,1247886.765,1629.9194,K1ls_mm
1112867.805,1247504.822,1634.3394,K1ls_mm
1113010.397,1247046.491,1629.053,K1ls_mm
1113090.605,1246788.68,1630.821,K1ls_mm

1113102.487,1246750.485,1631.4918,K1ls_mm
1113194.578,1246454.48,1631.5115,K1ls_mm
1113277.757,1246187.12,1631.8294,K1ls_mm
1113363.906,1245910.211,1632.8085,K1ls_mm
1113405.495,1245776.531,1633.1031,K1ls_mm

1113423.319,1245719.24,1631.5433,K1ls_mm
1113577.794,1245222.714,1631.5433,K1ls_mm
1113658.002,1244964.903,1633.9426,K1ls_mm
1113729.298,1244735.738,1641.9402,K1ls_mm








1109801.424,1241409.746,1567.08,K1ls_ms

1110569.862,1239458.194,1483.59,K1ls_ms


1102497.744,1248992.597,905.02,K1ls_ms
1102497.744,1248992.597,872.02,K1ls_mm

1110442.758,1253513.917,1513.38,K1ls_ms
1110442.758,1253513.917,1487.38,K1ls_mm


1101665.02,1248455.202,653.1163,K1ls_mi
1101732.618,1248497.986,654.501,K1ls_mi
1101774.867,1248524.726,673.8872,K1ls_mi
1101825.566,1248556.814,671.1176,K1ls_mi
1101969.213,1248647.73,694.658,K1ls_mi
1102104.41,1248733.297,712.6595,K1ls_mi
1102172.008,1248776.081,728.5841,K1ls_mi
1102467.751,1248963.26,760.288,K1ls_mi
1102780.394,1249161.135,808.0556,K1ls_mi
1102991.639,1249294.835,843.9224,K1ls_mi
1103312.731,1249498.058,896.9121,K1ls_mi
1103515.526,1249626.409,926.7669,K1ls_mi
1103777.47,1249792.196,968.6555,K1ls_mi
1104107.013,1250000.768,1027.6403,K1ls_mi
