X,Y,Z,formation
1103713,1246307,1114.20337,F.LosSantos
1103848,1246102,1144.74622,F.LosSantos
1103916,1245804,1139.58154,F.LosSantos
1103996,1245245,1132.60449,F.LosSantos
1104052,1244775,1131.35022,F.LosSantos
1104516,1243718,1191.64429,F.LosSantos
1104292,1244315,1147.0614,F.LosSantos
1104767,1242918,1146.56287,F.LosSantos
1105465,1241928,1168.86108,F.LosSantos
1105946,1241345,1204.9884,F.LosSantos
1106109,1240969,1218.14172,F.LosSantos
1106292,1240698,1228.71191,F.LosSantos
1106353,1240373,1246.37903,F.LosSantos

1100915.403,1248825.642,365.15631,F.Potreros
1102004.974,1248493.354,938.98596,F.Potreros
1102805.941,1248336.615,1001.5451,F.Potreros
1103090.846,1248305.158,1012.36493,F.Potreros
1103408.722,1248234.104,1018.53473,F.Potreros
1103630.69,1248234.104,1023.17792,F.Potreros
1103904.653,1248135.877,1019.32977,F.Potreros
1104127.029,1248051.562,1025.12158,F.Potreros
1104396.805,1247984.687,1047.6698,F.Potreros
1105089.029,1247955.429,1082.83313,F.Potreros
1105467.79,1247995.179,1113.80127,F.Potreros
1105828.896,1247977.939,1133.83044,F.Potreros
1105987.586,1247918.922,1136.20361,F.Potreros
1107432.144,1247281.519,1356.12415,F.Potreros
1108144.484,1247003.601,1541.25818,F.Potreros
1108687.592,1246778.632,1604.69507,F.Potreros
1109039.324,1246710.875,1625.23083,F.Potreros
1109329.608,1246647.354,1628.65918,F.Potreros
1110412.981,1246295.47,1643.38513,F.Potreros
1110746.18,1246136.272,1640.9281,F.Potreros
1111354.293,1245935.12,1633.32104,F.Potreros
1111890.365,1245759.376,1631.85022,F.Potreros
1112285.125,1245669.917,1632.27539,F.Potreros
1113581.652,1244898.119,1700.95801,F.Potreros
1113679.438,1244834.388,1708.89587,F.Potreros
1114107.582,1244489.418,1410.44006,F.Potreros
1114677.467,1244309.342,1236.59509,F.Potreros
1115239.9,1244141.686,1012.7923,F.Potreros

1108399.092,1250216.557,1242.0177,F.Aljibe

1108014.109,1250811.408,1124.16858,F.Aljibe

1107371.933,1251221.909,1032.82959,F.Aljibe

1106244.564,1251641.463,787.74384,F.Aljibe
                    

1108729.878,1249811.271,1321.20837,F.Aljibe
1108939,1249682.086,1379.99341,F.Aljibe
1109390.191,1249573.166,1558.52588,F.Aljibe
1110545.274,1249508.517,1662.05872,F.Aljibe
1111319.124,1249462.321,1667.79565,F.Aljibe
1112680.837,1248922.255,1694.0105,F.Aljibe
1113814.888,1248418.507,1690.84497,F.Aljibe
1114967.876,1247899.211,1747.11768,F.Aljibe
1115350.215,1247755.504,1774.97583,F.Aljibe
1115722.845,1247689.183,1744.48083,F.Aljibe
1116005.303,1247559.961,1531.01721,F.Aljibe
1117312.859,1246934.711,1157.52332,F.Aljibe



1109136.363,1254216.772,983.18555,F.Honda
1109031.509,1254421.286,993.36646,F.Honda
1108937.965,1254569.28,932.29303,F.Honda
1108730.677,1254832.196,869.55853,F.Honda
1108347.897,1255098.569,830.52429,F.Honda
1108198.695,1255168.213,810.61865,F.Honda
1108065.881,1255294.747,800.44135,F.Honda
1107968.567,1255455.294,740.42206,F.Honda
1107718.383,1255730.624,698.7702,F.Honda
1109188.218,1254118.701,1063.15027,F.Honda
1109572.195,1253793.42,1147.3634,F.Honda
1110065.327,1253549.945,1307.55212,F.Honda
1110264.141,1253405.81,1466.75818,F.Honda
1111157.303,1253050.965,1602.21631,F.Honda
1111978.374,1252631.675,1614.45422,F.Honda
1112997.483,1252068.654,1616.83545,F.Honda
1113830.268,1251339.06,1633.18359,F.Honda
1114111.071,1250938.005,1635.49719,F.Honda
1114723.148,1250152.478,1640.62598,F.Honda
1115338.348,1249600.28,1636.5,F.Honda
1115975.625,1249136.573,1624.78589,F.Honda
1117273.667,1248477.801,1035.54614,F.Honda

1109658.614,1256992.824,1018.55231,F.Lejia
1110193.42,1256535.821,1396.10376,F.Lejia
1110794.45,1256550.529,1460.01929,F.Lejia
1111740.894,1256377.433,1571.23047,F.Lejia
1112544.263,1256098.33,1585.38672,F.Lejia
1113772.146,1255426.71,1665.8623,F.Lejia
1114971.823,1254613.843,1689.53137,F.Lejia
1115609.393,1254183.156,1683.05359,F.Lejia
1116522.927,1253687.143,1702.82141,F.Lejia
1117207.559,1253068.774,1649.15588,F.Lejia
1117694.752,1252867.507,1472.84863,F.Lejia
